start_lat,start_lon,end_lat,end_lon,red_count,yellow_count,green_count,total_segments,true_travel_time_sec
40.8068316,-73.9610565,40.7755591,-73.9503323,25,23,16,64,1124.3771354761082
40.8048633,-73.9663136,40.7248855,-73.9922896,64,86,22,172,1733.2927024263545
40.800334,-73.97146,40.7776743,-73.9632228,16,25,9,50,993.0275893645367
40.7076904,-74.0155198,40.7262337,-73.9983091,22,17,11,50,586.621230753957
40.8124025,-73.9639023,40.7870011,-73.9755093,19,26,1,46,592.9201019293154
40.7609399,-73.9670376,40.7580419,-73.960182,0,4,2,6,72.33240496075771
40.7734893,-73.9890814,40.8134085,-73.9550501,32,34,34,100,1115.4691978444978
40.8146691,-73.9442672,40.732218,-73.998616,55,73,30,158,1662.0637006543564
40.7019726,-74.0100288,40.7717042,-73.9591761,41,79,42,162,1326.4794978354864
40.8126411,-73.963002,40.876272,-73.909447,65,33,38,136,1701.0439368337366
40.7144213,-73.9921353,40.7895635,-73.9773679,85,60,27,172,1850.0223926422175
40.865797,-73.919996,40.7585968,-73.9850795,87,86,24,197,1934.1137910505333
40.7090976,-74.0078157,40.7200534,-73.9928771,17,23,7,47,461.5308889170433
40.739272,-73.995446,40.726109,-73.974269,17,5,7,29,753.6597224563748
40.7190623,-73.9964715,40.7520288,-73.9676741,42,34,24,100,1006.6487166877079
40.8150353,-73.9586275,40.811481,-73.9463951,8,15,1,24,358.85957622629695
40.718847,-73.9748036,40.7833574,-73.9310461,46,25,23,94,3050.678187274206
40.8275738,-73.9353176,40.798203,-73.919426,22,25,6,53,1212.3250506176282
40.729779,-73.986812,40.7138032,-73.9850499,11,6,15,32,312.38184114387695
40.7346949,-73.9999737,40.7422581,-74.0006951,5,9,1,15,121.58485679168305
40.8263304,-73.9384423,40.7398722,-73.9895636,78,57,18,153,1757.2994089851163
40.7453054,-73.998472,40.81534,-73.9437801,64,76,48,188,1694.6919969898408
40.7610958,-73.9561062,40.7185765,-73.9833967,30,20,11,61,1639.0355020531488
40.7172754,-74.0090579,40.71887,-74.0066144,2,3,4,9,56.28990794755404
40.7761698,-73.9896122,40.8104994,-73.9619636,30,42,14,86,915.6517329946919
40.7316674,-73.9854374,40.7485249,-73.9749667,6,17,14,37,288.60172664792174
40.7565324,-73.9940178,40.7350121,-74.0069712,18,34,7,59,496.53345218100367
40.7236306,-74.0047955,40.7787867,-73.9820522,57,47,20,124,1126.6146536349784
40.7167378,-74.0020928,40.8035282,-73.9670403,75,67,39,181,1621.9642540398913
40.768263,-73.981474,40.7242643,-74.0047442,47,50,9,106,960.5956098423068
40.723278,-73.982524,40.8253247,-73.9457322,55,92,41,188,1860.9754744214358
40.7140701,-73.9975839,40.7298564,-73.9913946,9,18,4,31,282.0961600064691
40.859898,-73.919846,40.749056,-73.9957286,72,88,43,203,2743.175757193506
40.754591,-73.9991485,40.7551246,-74.0024796,0,4,1,5,60.288729810162415
40.7992916,-73.9453586,40.7720762,-73.9499354,32,17,2,51,777.762226455846
40.7096039,-74.0015481,40.7339814,-73.990953,11,35,10,56,442.89246974057517
40.7896284,-73.9400642,40.7016101,-74.0119669,106,83,48,237,2498.461819844122
40.7611565,-73.9795126,40.7615618,-73.966589,8,7,4,19,272.0029046459507
40.7804348,-73.9498809,40.7041084,-74.0089696,89,71,43,203,1991.74883926009
40.7335235,-73.989847,40.8087553,-73.9596506,63,50,47,160,1544.2566717140962
40.7261371,-73.9950679,40.7130104,-74.0008309,3,4,15,22,159.70225159380593
40.8213327,-73.9579208,40.7716605,-73.986677,45,47,18,110,1211.5119734502687
40.7509069,-73.9806768,40.8099318,-73.9623955,40,30,35,105,990.5205311609709
40.7375559,-74.0064757,40.708574,-74.0001685,16,47,9,72,549.2514034200499
40.7121302,-74.0056926,40.7409542,-74.0074898,21,39,12,72,583.1543098639984
40.7300191,-73.983536,40.7686501,-73.9698222,30,37,10,77,847.6721820378064
40.7311376,-74.0029381,40.7849459,-73.9682769,48,50,35,133,1210.6139549895543
40.7549885,-73.9765138,40.816374,-73.948356,33,52,25,110,980.8876270263776
40.7966003,-73.9180395,40.866759,-73.920612,31,16,6,53,4116.988774462882
40.7339707,-73.977781,40.8064478,-73.9502721,39,47,58,144,1370.8723864847605
40.729779,-73.986812,40.744765,-73.9951595,13,13,11,37,529.396691309899
40.7947346,-73.9698719,40.7565033,-73.9607182,22,33,14,69,787.0277540244336
40.7893529,-73.9570893,40.7097965,-73.9919815,65,56,34,155,1628.5233690400505
40.770387,-73.9642066,40.7289193,-74.0085913,24,58,12,94,1062.0067433829581
40.7518159,-74.0080267,40.7950638,-73.9331708,51,33,59,143,1521.3664673176668
40.7654593,-73.9680718,40.7364599,-74.0011844,39,27,11,77,868.3458094265187
40.8226363,-73.957693,40.8100741,-73.9530446,8,10,4,22,317.43561266260485
40.7185765,-73.9833967,40.7518159,-74.0080267,35,19,17,71,1017.7055932266641
40.8054609,-73.9677213,40.7971932,-73.9718028,11,7,3,21,206.48651907448055
40.7194191,-73.9913219,40.8064396,-73.9463669,44,89,27,160,1434.8507559209725
40.7789465,-73.9622984,40.8392425,-73.9412769,38,58,26,122,1234.8297246370519
40.7671354,-73.9817493,40.7491045,-73.9840705,15,17,1,33,364.7920185549279
40.8135861,-73.9345073,40.7728633,-73.9895402,32,48,27,107,1337.576199521881
40.7264932,-73.9991668,40.7999664,-73.9469712,43,74,21,138,1279.4241134099052
40.8459976,-73.943609,40.8048929,-73.9624703,22,25,14,61,807.1030322917235
40.824126,-73.95483,40.7978705,-73.9675624,17,17,7,41,423.6352515522652
40.8160871,-73.9621672,40.84355,-73.936126,33,12,18,63,839.72828444827
40.7648743,-73.9980477,40.7200786,-73.9883599,45,63,11,119,1636.9567448455539
40.7095371,-74.0084241,40.802938,-73.96956,80,74,54,208,1793.7909867699589
40.7223465,-73.9932156,40.8409552,-73.9394727,71,116,44,231,2208.0701781668995
40.738686,-73.995874,40.8048929,-73.9624703,61,43,45,149,1366.881445010579
40.756567,-73.990276,40.856783,-73.933681,84,55,44,183,1706.079029961673
40.7168982,-73.986194,40.7464036,-73.9776454,19,32,19,70,622.7930775622398
40.7962629,-73.9180997,40.711231,-74.006478,123,93,55,271,3740.0161087954225
40.7982754,-73.9525303,40.7092114,-73.9962351,64,62,38,164,1640.7892468694035
40.7703906,-73.9541098,40.8260123,-73.9357392,58,59,17,134,1413.0195061005072
40.7608557,-73.9983473,40.7662134,-73.9795321,10,5,15,30,301.98525563836665
40.7817655,-73.9830559,40.7390984,-73.9913883,33,52,8,93,896.030574160083
40.7104144,-74.0056176,40.7883617,-73.9766064,74,66,47,187,1580.6720370863009
40.7036181,-74.0144028,40.7166082,-73.9958489,10,35,6,51,480.49587113310486
40.7665639,-73.9904136,40.7614886,-73.9605894,11,20,11,42,632.8011510853316
40.7858123,-73.9726868,40.7700919,-73.9949438,18,29,12,59,737.2172199977142
40.7717854,-73.9792016,40.7372222,-74.0006278,39,36,7,82,821.9639833434512
40.7734893,-73.9890814,40.712544,-74.0076683,45,53,14,112,1779.1004676992932
40.867707,-73.9212171,40.774231,-73.9811332,66,69,27,162,1587.8801332159471
40.797172,-73.9293306,40.7495313,-74.0065763,54,41,48,143,1832.9313812452224
40.720341,-74.002221,40.7660116,-73.9674335,47,34,11,92,1406.58767124608
40.8111729,-73.9614867,40.728106,-73.978998,67,78,19,164,1917.9139260311852
40.7210194,-73.9821197,40.847352,-73.9339355,65,33,23,121,3578.3513662153887
40.7303374,-74.0024762,40.8033718,-73.9488235,69,71,48,188,1727.352784231909
40.8220717,-73.9537903,40.7831278,-73.9803916,21,37,6,64,606.8007186225003
